#  file: sfRawRanks2009-Jun.txt
#  package: sfRawData2009-Jun
#  description of file/package:
#
#  This package includes raw data files from our database of Sourceforge project 
#  information generated from the list of projects gathered on 2009-Jun
#
#  Raw data was inserted into database by running the scripts:
#  parseStats60.pl
#
#  ===IMPORTANT===
#  This particular file includes ranks data for each project. This info 
#  is averaged based on the daily ranks data for the previous 60 days.
#  ===============
#
#  Scripts & raw data available at http://ossmole.sourceforge.net
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (after all we just spidered it ;).
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2008) SourceForge Available at: 
#  http://ossmole.sourceforge.net
#
#  The SQL used to generate this data is as follows:
#
#  SELECT proj_unixname, round(avg(rank))
#  FROM `project_statistics_60` 
#  WHERE datasource_id=172
#  GROUP BY proj_unixname
#
#  description of columns:
#  proj_unixname: the name of the project at sourceforge (PK)
#  rank: the average of ranks for this 60-day period 
proj_unixname	round(avg(rank))
accessreferer	0
accessroad	0
accessrunner	0
accessserver	0
accessshading	0
accesstools	0
accesstream	0
accessunit	0
accessviewer	0
accessweb	0
accgenx	0
accha	0
accident	0
accidentdb	0
accip	0
accipiter	0
accmanager	0
accms	0
acco	0
accolorhelper	0
accompanistbill	0
accomplice	0
accomplishments	0
accordeon-cms	0
accordeur	0
accordian	0
accouma	0
account-manager	0
account-mgr	0
account4xoops	0
accountadillo	0
accountancy	0
accountant	0
accountbook	0
accountcrm	0
accounter	0
accountex-xpi	0
accounting-mod	0
accounting4me	0
accountingcross	0
accountis	0
accountlock	0
accountmanager	0
accountmgm	0
accountoverview	0
accountplus	0
accounts4j	0
accountsmanager	0
accountssummary	0
accousti-x	0
accpacnetlibrar	0
accpal	0
accre	0
accrete	0
accs	0
accsoft	0
accsqlworksheet	0
acctgsys	0
acctmgr	0
acctsync	0
accttrsh	0
accua	0
accugo	0
accumed	0
accurev-ant	0
accurev-idea	0
accurevcoderevi	0
accushot	0
accutrak	0
accutron2000	0
acd	0
acd-barguide	0
acdb	0
acdcontrol	0
acdesk	0
acdev	0
acdir	0
acdk	0
acdm	0
acdmaneger	0
acdo	0
acdrparser	0
acds	0
acdsac	0
acdt	0
acdx-c	0
ace	0
ace-ajax-chat	0
ace-freebsd	0
ace-gmailclient	0
ace-radius	0
aceacademy	0
acebook	0
acecaptrade	0
acechatserver	0
acecms	0
acedns	0
acefe	0
acegi-ext	0
acegi-test	0
aceginet	0
acegisamples	0
acegisecurity	0
aceituna	0
acejudge	0
acelet-alog	0
acell	0
acelogger	0
acemprojects	0
acemu	0
acemulator	0
acentuaruby	0
aceoperator	0
aceos	0
aceracpigui	0
acerhk	0
acerhkgui	0
aceromath	0
acertemplogger	0
acervonline	0
aces	0
aces-high-code	0
acesdownz	0
aceserv	0
aceserver	0
aceslayer	0
acesstvdigital	0
acesup	0
acesupmobile	0
aceswitch	0
acetaociao	0
acethreatmeter	0
acetone	0
acetoneisoi18n	0
acetoolkit	0
acetree	0
aceunit	0
aceyget	0
acf	0
acforbittorrent	0
acfproj	0
acfreeproxy	0
acftp	0
acfused	0
acg	0
acgc	0
acgs	0
acgsuing	0
acgtracker	0
acgvision	0
ach	0
achaeacure	0
achaeasys	0
achaeasystem	0
achanis	0
achape	0
acharacter	0
achat	0
achecker	0
achelous	0
achernar	0
acheron-l	0
achievepro	0
achievo-modules	0
achilles	0
achlsg	0
achtung-kurve	0
achviewer	0
achwrapper	0
acid	0
acid3lib	0
acidblood	0
acidbox	0
acidcp	0
acidcult	0
acide	0
acidforum	0
acidgames	0
acidic32	0
acidim	0
acidircd	0
acidlab	0
acidmon	0
acidmud	0
acidrip	0
acidsecrets	0
acidview6-win32	0
acidxoops	0
aciksb	0
acinerella	0
acip	0
aciqqezet	0
acirc	0
acity	0
ack	0
ackaboo	0
ackeralbums	0
ackertodo	0
ackertray	0
ackord	0
ackpoller	0
ackronic	0
ackterm	0
acl	0
acl-browser	0
acl-jaws	0
acl-tftp	0
acl-trend	0
aclanalyser	0
aclassutil	0
aclazarus	0
aclbit	0
aclean	0
aclibexif	0
aclibico	0
aclip	0
aclocator	0
aclog	0
acloneboard	0
aclsimulator	0
aclutil	0
acm	0
acm-system	0
acm-uc	0
acm1pt	0
acm2vclub	0
acmas	0
acmco-kb	0
acmcontester	0
acmdoc	0
acme	0
acme-sac	0
acme3d	0
acmearchsim	0
acmedupl	0
acmehardwarelig	0
acmemail	0
acmeschool	0
acmgen	0
acmgr	0
acmmp3encoder	0
acmnes	0
acmod	0
acms	0
acms-liveupdate	0
acmsreporter	0
acmtoolsforvs	0
acmup	0
acmus	0
acmwebsite	0
acmx	0
acnexus	0
acnik	0
aco	0
acocc	0
acode	0
acodegen	0
acolytemtg	0
acom-c	0
acoma	0
acommando	0
acompanhantes	0
acompiler	0
aconcagua	0
aconcorde	0
aconiacpassword	0
aconix	0
acop-pc	0
acorairc	0
acorapos	0
acorn	0
acorncd	0
acorndb	0
acorndrop	0
acornhunt	0
acornicq	0
acornutils	0
acos	0
acosi	0
acostplanstanic	0
acountant	0
acountthing	0
acoustic-memory	0
acousticspace	0
acoustmeas	0
acousto	0
acovea	0
acp	0
acp-2	0
acp-cherry	0
acp3	0
acpi	0
acpi-dialog	0
acpi-largesys	0
acpi4asus	0
acpiclient	0
acpicputhrottle	0
acpid	0
acpimodtester	0
acpimon	0
acpitool	0
acpitoolgui	0
acpiw	0
acpmodem	0
acprac	0
acqlite	0
acquasync	0
acquiesce	0
acquire	0
acquiregame	0
acr-gui	0
acrash	0
acre	0
acrilyc	0
acripper	0
acron	0
acronym	0
acropadd	0
acrophobia	0
acropolis	0
across	0
acrs	0
acryl	0
acrylic	0
acrypt	0
acryptohashnet	0
acscriptworks	0
acsct	0
acsdebris	0
acserver	0
acsf	0
acss	0
acsym	0
act	0
act-cv	0
act-o	0
act-rbot	0
acta	0
actaw	0
actb	0
actc	0
acte	0
actedit	0
actemit	0
acterm	0
actetris	0
acteurs	0
actexport	0
actif	0
actinictools	0
actinium	0
action	0
action-queue	0
actionableids	0
actionaz	0
actioncache	0
actioncrypt	0
actiondirectory	0
actionfactory	0
actionframework	0
actionfusion	0
actiongame	0
actionitemalert	0
actionlibmx	0
actionlink	0
actionmach	0
actionmmo	0
actionpoll	0
actions	0
actions-ds	0
actions-net	0
actionscript	0
actionsdbmanage	0
actionshooter	0
actionstep	0
actis	0
activ	0
activ-porthole	0
activa	0
activator	0
active	0
active-ist	0
active-jms	0
activeagenda	0
activebliss	0
activeboard	0
activebpel	0
activedefense	0
activedirftp	0
activegem	0
activegrid	0
activehl7	0
activeim	0
activejob	0
activelife	0
activelock	0
activemap	0
activemindsys	0
activemon	0
activemsn	0
activeodma	0
activeos	0
activepassword	0
activerecord	0
activerecordnet	0
activerecordobj	0
activerender	0
activereport	0
activersion	0
activerules	0
activesetuptool	0
activesql	0
activesync	0
activeui	0
activevalid	0
activewiki	0
activewinamp	0
activewire-osx	0
activewizard	0
activex	0
activexml	0
activexmlr	0
activexp	0
activismnetwork	0
activity-logger	0
activityindicat	0
activitylog	0
activitylog-win	0
activityscript	0
activityspace	0
activitystudio	0
activitytracker	0
activscm	0
actl	0
actlabtv	0
actminer	0
acto	0
actoframework	0
actor	0
actos	0
actr-sos	0
actr-wn-lexical	0
acts	0
actsassvn	0
actualiza	0
actualizadix	0
actualizer	0
actuall	0
actwire	0
acubbill	0
acudos	0
acui-agenda	0
acuity	0
acumen	0
acumetric	0
acusto	0
acuview	0
acv	0
acweb	0
acx100	0
acy-7	0
ad-coit	0
ad-gallery	0
ad-hoc-networks	0
ad-infinitum	0
ad-system	0
ad1000	0
ad4unix	0
ad7924	0
ad9850-control	0
ada	0
ada-autoit	0
ada-connect4	0
ada-player	0
ada-spread	0
ada2gxl	0
ada95osxbinding	0
adaapter	0
adac	0
adacf	0
adacontrol	0
adadl	0
adadoc	0
adads	0
adaf	0
adafornetbeans	0
adafrom	0
adage	0
adage4	0
adagegame	0
adagen	0
adagide	0
adago	0
adai	0
adaimgsvr	0
adal	0
adalogo	0
adam	0
adam-soft	0
adam-traffic	0
adam15dosgame	0
adam3d	0
adamant	0
adambots-live	0
adamo	0
adamof	0
adams	0
adamserver	0
adamsoft	0
adamultimedia	0
adan	0
adancedremote	0
adaparse	0
adapc	0
adapdev	0
adaprojet	0
adapt	0
adaptagrams	0
adaptbb	0
adaptcms	0
adaptergen	0
adaptergenerato	0
adaptit	0
adaptive-api	0
adaptive-gcc	0
adaptive-gui	0
adaptive-ioc	0
adaptivebus	0
adaptivecacheal	0
adaptivecellsj	0
adaptiveobjectc	0
adaptivequickse	0
adaptivetrapex	0
adaptmot	0
adaptproject	0
adaptube	0
adaptweb	0
adara	0
adas	0
adasdl	0
adasl	0
adastar	0
adastra	0
adatabase	0
adatabasetable	0
adatoccpp	0
adatris	0
adaworks	0
adax	0
adayinthebay	0
adb	0
adbd	0
adbgone	0
adbi	0
adbkv1	0
adblock-rules	0
adbmanage	0
adbnewssender	0
adbsql	0
adc	0
adcalc	0
adcarouseljs	0
adcenter	0
adchnet	0
adchpp	0
adclient	0
adclock	0
adcomercial	0
adconsole	0
adcportal	0
adcviewer	0
add	0
add-alarm-clock	0
adda	0
addalink	0
addam	0
addanc	0
addbookdb	0
addheadertocs	0
addicted	0
addictionfree	0
addieland	0
addininsert	0
additionof2numb	0
addl	0
addline	0
addmaker	0
addmaster	0
addmesocialbook	0
addon-projekt	0
addonmanager	0
addrbook	0
address	0
address-ldap	0
address-util	0
address550	0
affb	0
affiliates	0
affiliatetrends	0
affiliatewv	0
affilihost	0
affinitychanger	0
affinityhtml	0
affinityos	0
affirmator	0
affisix	0
affix	0
afflib	0
affmarket	0
affogato	0
affs	0
affy	0
afg100	0
afhcontrolpanel	0
afhub	0
afi	0
afick	0
afid	0
afight	0
afinder	0
afjp2-compiler	0
afkap	0
afkcfg	0
afketsen	0
aflegend	0
aflog	0
afly	0
afm	0
afm2	0
afms	0
afner	0
afnl	0
aforge	0
aforms	0
afortunes	0
aforum	0
afoto	0
afp	0
afp-renderer	0
afpc	0
afpdns	0
afpedit	0
afpfontviewer	0
afpfs-ng	0
afphpclasslib	0
afr	0
afr-bd	0
afrainframework	0
afram	0
aframe	0
afrang	0
afri	0
africa	0
afrikaans	0
afsmanager	0
afsproject	0
afstcdb	0
aft	0
aftech	0
aften	0
after7-thclass	0
afterburner	0
afterearth	0
afterglow	0
afterircd	0
afterlife	0
afterlogicwebma	0
aftermath	0
aftermath-wars	0
aftermathmud	0
aftermathrpg	0
aftermaze	0
aftermoon	0
afternetdotorg	0
afternowmud	0
aftershock	0
afterstep	0
aftertex	0
aftertheauction	0
afterthought	0
aftertime	0
afterwaterwars	0
aftokinito	0
aftp	0
afts	0
afuc	0
afunct-ta0kira	0
afupdevphp	0
afuse	0
afw	0
afw-jack	0
afwtabletags	0
afx	0
afyadigitalradi	0
ag-cling	0
ag-x-feed	0
ag2map	0
agal	0
agar	0
agaressecurity	0
agartha	0
agata	0
agatareport	0
agatca	0
agatemulator	0
agateruletester	0
agatha	0
agatha-pbr	0
agathaproject	0
agathe	0
agave	0
agbe	0
agc	0
agc-emu	0
agcnodes	0
agcontrol	0
agcp	0
agcs	0
agcsp	0
agctf	0
agd	0
agda	0
agdb	0
agder	0
agdersoftcms	0
age	0
age-osgi	0
age-thing	0
ageaventure	0
agedisplay	0
ageevaframework	0
agel	0
ageless	0
agelib	0
agemail	0
agena	0
agenciaviaje	0
agency-plan	0
agency4net-wftp	0
agencydb	0
agenda	0
agenda-01	0
agenda-ja	0
agenda-livre	0
agenda-manager	0
agenda-snow	0
agenda4desktop	0
agendac	0
agendaclientes	0
agendahelp	0
agendaisin	0
agendajava	0
agendalivre	0
agendami	0
agendaonline	0
agendaphp	0
agendatimemngr	0
agendaware	0
agendaxml	0
agenedb	0
agengine	0
agent	0
agent-orange	0
agent-see	0
agent-sg	0
agent007	0
agent450	0
agentacademy	0
agentapi	0
agentartworld	0
agentbak	0
agentbeats	0
agentcell	0
agentdynamics	0
agentejade	0
agentemail	0
agentfactory	0
agentfarms	0
agentgrid	0
agentgridrepast	0
agentlight	0
agentools	0
agentopia	0
agentowl	0
agentq	0
agentq4	0
agentserver	0
agentspace	0
agenttakanawa	0
agenttrafficsim	0
agentvanguard	0
agentx4j	0
agenziaviaggi	0
ageofeternity	0
ageofreedom	0
ageofwar	0
ageosgi	0
agepabase	0
agere	0
ages	0
agesoflore	0
agest	0
agex	0
agfe	0
agfg	0
agfupx	0
agg	0
agg-sharp	0
aggclustering	0
aggctl	0
agge	0
aggen	0
aggersapi	0
aggie	0
aggilus	0
aggomail	0
aggoo	0
aggpas	0
aggregate	0
aggregated4	0
aggregatehd	0
aggregator	0
aggregator2	0
aggrevator	0
aghermann	0
aghparser	0
agi	0
agi-audiotx	0
agi-flash	0
agile-in-one	0
agile-team-tool	0
agile-verif	0
agile2d	0
agilebracket	0
agiledbtools	0
agileevoting	0
agilefant	0
agileflow	0
agilegis	0
agilegrid	0
agilejavalesson	0
agilejsf	0
agilelib	0
agilepeg	0
agilepipe	0
agileplanner	0
agileplannereu	0
agileplex	0
agileportman	0
agilercp	0
agilesourcesafe	0
agilesql	0
agilestudio	0
agiletoolkit	0
agiletrack	0
agilewidgets	0
agilewiki	0
agileworkbench	0
agilia	0
agilifier	0
agilinator	0
agiliplan	0
agilis	0
agility	0
agility4j	0
agilitybook	0
agilpro	0
agiltestlist	0
aginetmon	0
aginstaller	0
agio	0
agis	0
agisim	0
agistudio	0
agitator	0
agiterm	0
agito	0
agix	0
agl-lib	0
agla	0
aglaiaagency	0
aglat	0
agle	0
aglelibrary	0
aglets	0
agletsnet	0
aglezdb	0
aglf	0
aglibrogenealog	0
aglobe	0
aglp	0
aglyph	0
agmail	0
agmanager	0
agmelt	0
agmlproject	0
agnathan	0
agnax	0
agnes	0
agnet	0
agnitio	0
agnix	0
agnomaly	0
agnostos	0
agnustic	0
agnux	0
agnx80211driver	0
ago-browser	0
agoban	0
agoko	0
agon	0
agon-cosmos	0
agora	0
agora-community	0
agora-framework	0
agoracart	0
agorae	0
agorapucp	0
agorawm	0
agorisk	0
agoroid	0
agorumcore	0
agos	0
agot	0
agow	0
agpiloto	0
agportal	0
agqt	0
agr	0
agragator	0
agranger	0
agre	0
agreements	0
agreeyanasbox	0
agricolae	0
agrifriend	0
agrinux	0
agriope	0
agroma	0
agronom	0
agrovoct	0
agrub	0
agrumelaire	0
agruta	0
ags	0
agschema	0
agscumm	0
agsession	0
agslides	0
agsm	0
agt	0
agtk	0
agtoys	0
agtrac	0
agtrainer	0
agts	0
agu	0
aguayfuego	0
aguestbook	0
agui	0
aguita	0
agup	0
agushka	0
agutur	0
agv	0
agvcr	0
agvsimulation	0
agx-ast-addons	0
agxp	0
ah-card-game	0
ah-tty	0
ah7	0
aha-project	0
ahaaps	0
ahahdegradable	0
ahambr	0
ahat	0
ahcitool	0
ahcp	0
ahds	0
ahextntemplate	0
ahf	0
ahh	0
ahi4dwave	0
ahk	0
ahm	0
ahmeba	0
ahmhie	0
ahn	0
ahn-backup	0
ahnen	0
ahnmini-publish	0
ahorcado	0
ahote	0
ahoy	0
ahpag	0
ahrg	0
ahs	0
ahscs	0
ahsm-for-x70	0
ahsmapper	0
ahts	0
ahttpd	0
ahttplib	0
ahwac	0
ahwaz	0
ai-ant-sim	0
ai-crm	0
ai-engine	0
ai-erp	0
ai-horus	0
ai-integration	0
ai-php-class	0
ai-python	0
ai-standards	0
ai-sudoku	0
ai-tankwar	0
ai-tem	0
ai-trip	0
ai-tutor	0
ai-world	0
ai-ws	0
ai0	0
ai08npl	0
ai4d	0
ai4games	0
ai4j	0
aia-rpg	0
aiafundanalysis	0
aiagentsj	0
aiakos	0
aiapps	0
aias	0
aiassistant	0
aib	0
aibalone	0
aibaspps	0
aibastutor	0
aibicom	0
aibo	0
aiboagent	0
aiboagility	0
aibob	0
aiboedu	0
aibolib	0
aibolinux	137430
aibosit	33487
aibot	64662
aibotalk	66659
aibots	0
aiboware	0
aibr	0
aibuddy	0
aibur	0
aica	0
aicc-connector	0
aices	0
aichal	0
aichinesechess	0
aicms	0
aicnews	0
aicoreemotions	0
aicrowd	0
aid	0
aid-n	0
aid20	0
aidb	0
aidc	0
aiddlywiki	0
aide	0
aide4delphi	0
aideaas	0
aidear	0
aideen	0
aiden	0
aidereport	0
aidesign	0
aidiji	0
aidlgame	0
aids	0
aidsoidviewer	0
aidungeon	0
aie	0
aie85	0
aien	0
aiengine	0
aieonframework	0
aierosracing	0
aiexperiments	0
aif	0
aif-maze-2008	0
aiface	0
aifftools	0
aificlisp	0
aiforgames	0
aig	0
aigaion	0
aigames	0
aigebirbac	0
aigle	0
aigo-online	0
aigochess	0
aigs	0
aika	0
aikencms	0
aikido	0
aiksaurus	0
ail	0
ailandra	0
ailang	0
ailen	0
ailib	0
aillade	0
ailnan	0
ailocalsearch	0
aim	0
aim-alba	0
aim-cli	0
aim-in-java	0
aim-sh	0
aim-stenograph	0
aim2linux	0
aimaeducational	0
aimagik	0
aimban	0
aimbe	0
aimbench	0
aimcrypt	0
aime	0
aime-lib	0
aime2	0
aimedsp	0
aimemul	0
aimemulator	0
aimex	0
aimfserve	0
aimgraph	0
aimirc	0
aiml-verbot	0
aimlbot	0
aimle	0
aimlog	0
aimlogphp	0
aimmath	0
aimmylastfm	0
aimonopd	0
aimpc	0
aimprintscreen	0
aimprofiler	0
aimpublisher	0
aims	0
aimsleuth	0
aimsphil	0
aimtabz	0
aimtracker	0
aimutation	0
ain	0
ainet	0
ainfosrp	0
ainlang	0
ainn	0
aino	0
ainos-project	0
ainouche	0
ainow	0
ainstall	0
aint	0
aio-member-site	0
aio-xmms	0
aioconvert	0
aiocp	0
aiod	0
aiof	0
aion	0
aione-editor	0
aionelementmgr	0
aionemu	0
aiopcquicktext	0
aiopinion	0
aioros	0
aios	0
aios4win	0
aiot	0
aip	0
aip-enforcer	0
aipa	12116
aipac	52874
aipcs	72350
aipdf	49296
aipex	0
aipicker	0
aiplanet	0
aipot	0
aipsetup	0
aiptektablet	0
aipuzzle	0
air	0
air-ftp	0
air-imager	0
air-in-a-box	0
air-sched	0
air-webim	0
air2	0
air5023	0
airbase	0
airblade	0
airboard-ir	0
airbomber	0
airbox	0
airc	0
aircash	0
aircbot	0
aircert	0
airclick	0
aircpp	0
aircrack-ng	0
aircraft	0
aircraftsched	0
aircraftschedul	0
airczech	0
