#  file: fmRawProjectAuthors2013-Sep.txt
#  package: fmProjectData
#  description of file/package:
#
#  This package includes raw data files from our database of Freshmeat project 
#  information generated from the list of projects gathered in Sep of 2013
#
#  Raw data was inserted into database by running the scripts:
#  scraper.pl and url_resolver.pl on the RDF files provided by Freshmeat. Get 
#  these files like this:
#  curl -O http://download.freshmeat.net/backend/fm-projects.rdf.bz2
#
#  Scripts & raw data available at http://flossmole.org
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (afterall we just spidered it ;).
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2013) 
#  The project is available at: http://flossmole.org
#
#  SELECT fp.project_id, fp.projectname_short, fpa.author_name, fpa.author_role 
#  FROM `fm_project_authors` fpa, fm_projects fp 
#  WHERE fp.datasource_id=387
#  AND fpa.datasource_id=387
#  AND fpa.project_id = fp.project_id
#  ORDER BY fp.project_id
#
#  datasource_id = 387 is the Sep 2013 run on freshmeat.
project_id	projectname_short	author_name	author_role
326	apcupsd    	Kern Sibbald	Owner
330	aphrodite    	alphanumerica	Owner
333	aplus    	ber	Owner
338	app    	George Nelan	Owner
341	applixwareperlapi    	Uwe C. Schroeder	Owner
347	aps    	Christian Schulte (DG1NSW)	Owner
348	apsr    	Martin Kluge	Owner
353	apt-proxy    	haggai	Owner
353	apt-proxy    	Rusty	Original author
356	aquarium    	Shannon -jj Behrens	Owner
357	arabeske    	wozzeck	Owner
358	arachnebrowser    	Michael Polak	Owner
359	arad-onetable-editor    	Shlomi Fish	Owner
362	arcem    	Dave Gilbert	Owner
367	argante    	The Evil Twin	Owner
368	argouml    	Jason Robbins	Owner
369	argtable    	Stewart Heitmann	Owner
372	arisyahooclient    	Sam Kennedy	Owner
374	ariadne    	Muze	Owner
375	arianne    	Miguel Angel Blanch Lardin	Owner
376	arkeiaanb    	WD Arkeia	Owner
378	arla    	Love Hörnquist Åstrand	Owner
383	armymaker    	darke de Loup	Owner
385	arping    	Marvin	Owner
386	arpoison    	Steve Buer	Owner
389	arrow    	John Lindal	Owner
397	arts    	Stefan Westerfeld	Owner
398	arts++    	Ryan Koga	Owner
399	artstream    	hclmed	Owner
402	asapm    	Tigr	Owner
403	asbutton    	Ryan	Owner
405	ascii    	Eric S. Raymond	Owner
408	ascii2pdf    	Michael Arndt	Owner
412	ascpu    	Tigr	Owner
416	asforza4    	Riccardo&Cesare	Owner
419	askemos    	Jerry	Owner
421	asmail    	Tigr	Owner
422	asmem    	Tigr	Owner
423	asmix    	Tigr	Owner
