#  file: fmRawProjectStats2013-Sep.txt
#  package: fmProjectData
#  description of file/package:
#
#  This package includes raw data files from our database of Freshmeat project 
#  information generated from the list of projects gathered in 2013-Sep
#
#  Raw data was inserted into database by running the scripts:
#  scraper.pl and url_resolver.pl on the RDF files provided by Freshmeat. Get 
#  these files like this:
#  curl -O http://download.freshmeat.net/backend/fm-projects.rdf.bz2
#
#  Scripts & raw data available at http://flossmole.org
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (afterall we just spidered it ;).
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2013) 
#  The project is available at: http://flossmole.org
#
#  SELECT project_id, projectname_short, vitality_score, vitality_percent, 
#  vitality_rank, popularity_score, popularity_percent, popularity_rank, rating, 
#  rating_count, rating_rank, subscriptions
#  FROM `fm_projects`
#  WHERE datasource_id=387
#  ORDER BY project_id
#
#  datasource_id = 387 is the 2013-Sep run on freshmeat.
project_id	projectname_short	vitality_score	vitality_percent	vitality_rank	popularity_score	popularity_percent	popularity_rank	rating	rating_count	rating_rank	subscriptions
122	adodb    	10.22    	NULL	NULL	841.45    	NULL	NULL	35    	39    	NULL	256    
123	adonthell    	5.91    	NULL	NULL	368.49    	NULL	NULL	9    	10    	NULL	64    
127	adsl_sh    	2.03    	NULL	NULL	52.71    	NULL	NULL	1    	1    	NULL	2    
128	adsmclient    	2.24    	NULL	NULL	62.28    	NULL	NULL	0    	1    	NULL	2    
129	aduvizor    	1.42    	NULL	NULL	67.79    	NULL	NULL	0    	0    	NULL	2    
130	advancedbashscriptingguide    	28.82    	NULL	NULL	1555.06    	NULL	NULL	38    	41    	NULL	576    
133	atftp    	3.32    	NULL	NULL	322.36    	NULL	NULL	5    	5    	NULL	32    
136	aee    	2.17    	NULL	NULL	66.9    	NULL	NULL	1    	1    	NULL	3    
137	aegis    	10.24    	NULL	NULL	269.2    	NULL	NULL	6    	6    	NULL	65    
139	aescrypt    	1.76    	NULL	NULL	115.72    	NULL	NULL	0    	0    	NULL	9    
140	aewm    	8.06    	NULL	NULL	133.75    	NULL	NULL	3    	5    	NULL	12    
141	afbackup    	5.14    	NULL	NULL	165.23    	NULL	NULL	2    	3    	NULL	22    
142	afd    	28.13    	NULL	NULL	390.08    	NULL	NULL	4    	4    	NULL	58    
143	aqotdd    	1.42    	NULL	NULL	68.32    	NULL	NULL	0    	0    	NULL	3    
144	afio    	6.48    	NULL	NULL	278.37    	NULL	NULL	9    	9    	NULL	40    
145	afk    	1.0    	NULL	NULL	79.94    	NULL	NULL	0    	0    	NULL	4    
146	ghostscript    	214.73    	NULL	NULL	763.43    	NULL	NULL	6    	7    	NULL	166    
148	aft    	9.02    	NULL	NULL	241.33    	NULL	NULL	3    	3    	NULL	36    
150	afterstep    	17.44    	NULL	NULL	322.89    	NULL	NULL	13    	13    	NULL	76    
155	aglaophone    	2.51    	NULL	NULL	128.31    	NULL	NULL	1    	3    	NULL	11    
157	agnesbbs    	1.0    	NULL	NULL	312.72    	NULL	NULL	0    	1    	NULL	8    
158	agnostos    	1.43    	NULL	NULL	46.86    	NULL	NULL	2    	2    	NULL	5    
159	agora    	69.95    	NULL	NULL	93.57    	NULL	NULL	2    	2    	NULL	4    
160	agt    	4.47    	NULL	NULL	185.77    	NULL	NULL	3    	6    	NULL	34    
164	aide    	4.32    	NULL	NULL	416.71    	NULL	NULL	8    	8    	NULL	98    
166	aime    	2.08    	NULL	NULL	100.64    	NULL	NULL	0    	0    	NULL	6    
167	imirc    	6.32    	NULL	NULL	114.98    	NULL	NULL	0    	0    	NULL	8    
168	aips    	11.17    	NULL	NULL	60.25    	NULL	NULL	0    	0    	NULL	2    
170	airtraffic    	3.24    	NULL	NULL	177.62    	NULL	NULL	0    	1    	NULL	21    
171	aixjdk    	69.76    	NULL	NULL	61.04    	NULL	NULL	0    	0    	NULL	2    
173	interchange    	12.41    	NULL	NULL	452.64    	NULL	NULL	5    	8    	NULL	92    
178	alamingsmsmsgateway    	2.74    	NULL	NULL	188.84    	NULL	NULL	2    	2    	NULL	21    
179	alarmapplet    	3.04    	NULL	NULL	53.94    	NULL	NULL	0    	0    	NULL	2    
181	album    	37.91    	NULL	NULL	561.67    	NULL	NULL	113    	127    	NULL	137    
184	alephone    	3.66    	NULL	NULL	188.71    	NULL	NULL	2    	2    	NULL	26    
189	alfalinux    	1.45    	NULL	NULL	35.47    	NULL	NULL	0    	0    	NULL	1    
191	algorithmdiff    	2.43    	NULL	NULL	50.23    	NULL	NULL	0    	0    	NULL	2    
192	aliases2cdbm    	1.0    	NULL	NULL	68.1    	NULL	NULL	0    	0    	NULL	2    
194	alien    	4.98    	NULL	NULL	149.83    	NULL	NULL	2    	4    	NULL	22    
196	align    	8.03    	NULL	NULL	133.45    	NULL	NULL	1    	2    	NULL	15    
199	alkalineunixntsearchengine    	3.76    	NULL	NULL	118.41    	NULL	NULL	1    	1    	NULL	8    
200	allcommerce    	2.96    	NULL	NULL	27.89    	NULL	NULL	0    	0    	NULL	1    
201	allegro    	9.93    	NULL	NULL	392.09    	NULL	NULL	5    	5    	NULL	87    
208	alma    	3.83    	NULL	NULL	236.75    	NULL	NULL	2    	2    	NULL	37    
212	alsadriver    	103.26    	NULL	NULL	1034.62    	NULL	NULL	20    	21    	NULL	252    
213	alsaplayer    	14.55    	NULL	NULL	366.72    	NULL	NULL	4    	5    	NULL	83    
214	altconnect    	4.81    	NULL	NULL	125.02    	NULL	NULL	3    	3    	NULL	10    
217	alteredsaver    	1.0    	NULL	NULL	67.23    	NULL	NULL	0    	0    	NULL	3    
